regione,abitanti_regione,posti_letto
Lombardia,10018806,1260
Lazio,5898124,707
Campania,5839084,600
Sicilia,5056641,611
Veneto,4907529,825
Emilia-Romagna,4448841,962
Piemonte,4392526,420
Puglia,4063888,306
Toscana,3742437,650
Calabria,1965128,221
Sardegna,1653135,163
Liguria,1565307,251
Marche,1538055,163
Abruzzo,1322247,151
Friuli Venezia Giulia,1217872,155
Trentino Alto Adige,1059114,124
P.A. Trento,538223,84
P.A. Bolzano,520891,40
Umbria,888908,96
Basilicata, 570365,64
Molise,310449,27
Valle d'Aosta,126883,25
